Customer account,Invoice no.,due date,Posting profile,transaction txt,Currency,EX rate,Amount,Amount,Department,Cost center,Purpose,,,
50000005,90990888,20191005,OR,21201946405-190807,USD,10633,177.02,18823,,,,,,
50000005,90990889,20191005,OR,21201946411-190807,USD,10633,0.06,6,,,,,,
50000005,90990897,20191005,OR,21201954900-190815,USD,10633,76.81,8167,,,,,,
50000005,90990898,20191005,OR,21201954900-190815,USD,10633,64.87,6898,,,,,,
50000005,90990899,20191005,OR,21201954900-190815,USD,10633,50.95,5418,,,,,,
50000005,90990900,20191005,OR,21201954900-190815,USD,10633,243,25839,,,,,,
50000005,90990902,20191005,OR,21201954900-190815,USD,10633,317.44,33754,,,,,,
50000005,90990904,20191005,OR,21201954900-190815,USD,10633,320.33,34060,,,,,,
50000005,90990906,20191005,OR,21201954900-190815,USD,10633,53.17,5654,,,,,,
50000005,90990907,20191005,OR,21201954900-190815,USD,10633,329.4,35025,,,,,,
50000005,90990909,20191005,OR,21201954900-190815,USD,10633,547.1,58173,,,,,,
50000005,90990911,20191005,OR,21201954900-190815,USD,10633,10.34,1100,,,,,,
50000005,90990913,20191005,OR,21201954900-190816,USD,10633,426.88,45390,,,,,,
50000005,90990915,20191005,OR,21201954900-190816,USD,10633,2.08,221,,,,,,
50000005,90990917,20191005,OR,21201954900-190816,USD,10633,12.54,1334,,,,,,
50000005,90990918,20191005,OR,21201954900-190816,USD,10633,10.53,1119,,,,,,
50000005,90990920,20191005,OR,21201954900-190816,USD,10633,1.44,153,,,,,,
50000005,90990921,20191005,OR,21201954900-190817,USD,10633,30,3190,,,,,,
50000005,90990923,20191005,OR,21201954900-190817,USD,10633,4.1,436,,,,,,
50000005,90990925,20191005,OR,21201954900-190817,USD,10633,380.88,40499,,,,,,
50000005,90990927,20191005,OR,21201954900-190817,USD,10633,40.72,4330,,,,,,
50000005,90990928,20191005,OR,21201954900-190817,USD,10633,3.45,367,,,,,,
50000005,90990930,20191005,OR,21201954900-190818,USD,10633,16.73,1778,,,,,,
