Vendor account,Invoice no.,due date,Posting profile,transaction txt,Currency,EX rate,Amount,Amount,Department,Cost center,Purpose
102011-JPY,5100073756,20190930,Gen,2019/08/08 E030 ,JPY,100,-1460,-1460,,,
102011-JPY,5100073757,20190930,Gen,2019/08/08 E030 ,JPY,100,-37400,-37400,,,
102011-JPY,5100073758,20190930,Gen,2019/08/08 E030 ,JPY,100,-1200,-1200,,,
102011-JPY,5100073759,20190930,Gen,2019/08/08 E030 ,JPY,100,-6720,-6720,,,
102011-JPY,5100073760,20190930,Gen,2019/08/08 E030 ,JPY,100,-13360,-13360,,,
102011-JPY,5100073761,20190930,Gen,2019/08/08 E030 ,JPY,100,-214360,-214360,,,
102011-JPY,5100073762,20190930,Gen,2019/08/08 E030 ,JPY,100,-3000,-3000,,,
102011-JPY,5100073763,20190930,Gen,2019/08/08 E030 ,JPY,100,-17160,-17160,,,
102011-JPY,5100073764,20190930,Gen,2019/08/08 E030 ,JPY,100,-16800,-16800,,,
102011-JPY,5100073765,20190930,Gen,2019/08/08 E030 ,JPY,100,-19125,-19125,,,
102011-JPY,5100073766,20190930,Gen,2019/08/08 E030 ,JPY,100,-2400,-2400,,,
102011-JPY,5100073767,20190930,Gen,2019/08/08 E030 ,JPY,100,-76325,-76325,,,
102011-JPY,5100073768,20190930,Gen,2019/08/08 E030 ,JPY,100,-2800,-2800,,,
102011-JPY,5100073769,20190930,Gen,2019/08/08 E030 ,JPY,100,-437700,-437700,,,
102011-JPY,5100073770,20190930,Gen,2019/08/08 E030 ,JPY,100,-791190,-791190,,,
102011-JPY,5100073967,20190930,Gen,2019/08/20 E030 ,JPY,100,-222848,-222848,,,
102011-JPY,5100073991,20190930,Gen,2019/08/20 E030 ,JPY,100,-249480,-249480,,,
102011-JPY,5100074014,20190930,Gen,2019/08/21 E030 ,JPY,100,-30000,-30000,,,
102011-JPY,5100074015,20190930,Gen,2019/08/21 E030 ,JPY,100,-30450,-30450,,,
102011-JPY,5100074016,20190930,Gen,2019/08/21 E030 ,JPY,100,-178070,-178070,,,
102011-JPY,5100074017,20190930,Gen,2019/08/21 E030 ,JPY,100,-15500,-15500,,,
102011-JPY,5100074018,20190930,Gen,2019/08/21 E030 ,JPY,100,-5391,-5391,,,
102011-JPY,5100074019,20190930,Gen,2019/08/21 E030 ,JPY,100,-223580,-223580,,,
102011-JPY,5100074136,20190930,Gen,2019/08/23 E030 ,JPY,100,-18830,-18830,,,
102011-JPY,5100074137,20190930,Gen,2019/08/23 E030 ,JPY,100,-18830,-18830,,,
102011-JPY,5100074138,20190930,Gen,2019/08/23 E030 ,JPY,100,-33894,-33894,,,
102011-JPY,5100074139,20190930,Gen,2019/08/23 E030 ,JPY,100,-173236,-173236,,,
102011-JPY,5100074140,20190930,Gen,2019/08/23 E030 ,JPY,100,-56490,-56490,,,
102011-JPY,5100074141,20190930,Gen,2019/08/23 E030 ,JPY,100,-165704,-165704,,,
102011-JPY,5100074142,20190930,Gen,2019/08/23 E030 ,JPY,100,-218428,-218428,,,
102011-JPY,5100074143,20190930,Gen,2019/08/23 E030 ,JPY,100,-3766,-3766,,,
102011-JPY,5100074144,20190930,Gen,2019/08/23 E030 ,JPY,100,-56490,-56490,,,
102011-JPY,5100074145,20190930,Gen,2019/08/23 E030 ,JPY,100,-7532,-7532,,,
102011-JPY,5100074146,20190930,Gen,2019/08/23 E030 ,JPY,100,-515942,-515942,,,
102011-JPY,5100074147,20190930,Gen,2019/08/23 E030 ,JPY,100,-124278,-124278,,,
102011-JPY,5100074148,20190930,Gen,2019/08/23 E030 ,JPY,100,-779562,-779562,,,
102011-JPY,5100074149,20190930,Gen,2019/08/23 E030 ,JPY,100,-335174,-335174,,,
102011-JPY,5100074150,20190930,Gen,2019/08/23 E030 ,JPY,100,-222194,-222194,,,
102011-JPY,5100074151,20190930,Gen,2019/08/23 E030 ,JPY,100,-7532,-7532,,,
102011-JPY,5100074152,20190930,Gen,2019/08/23 E030 ,JPY,100,-195832,-195832,,,
102011-JPY,5100074153,20190930,Gen,2019/08/23 E030 ,JPY,100,-124278,-124278,,,
102011-JPY,5100074154,20190930,Gen,2019/08/23 E030 ,JPY,100,-22596,-22596,,,
102011-JPY,5100074155,20190930,Gen,2019/08/23 E030 ,JPY,100,-120512,-120512,,,
102011-JPY,5100074156,20190930,Gen,2019/08/23 E030 ,JPY,100,-380366,-380366,,,
102011-JPY,5100074157,20190930,Gen,2019/08/23 E030 ,JPY,100,-809690,-809690,,,
102011-JPY,5100074158,20190930,Gen,2019/08/23 E030 ,JPY,100,-952798,-952798,,,
102011-JPY,5100074159,20190930,Gen,2019/08/23 E030 ,JPY,100,-56490,-56490,,,
102011-JPY,5100074160,20190930,Gen,2019/08/23 E030 ,JPY,100,-1186290,-1186290,,,
102011-JPY,5100074161,20190930,Gen,2019/08/23 E030 ,JPY,100,-3766,-3766,,,
102011-JPY,5100074162,20190930,Gen,2019/08/23 E030 ,JPY,100,-7532,-7532,,,
102011-JPY,5100074163,20190930,Gen,2019/08/23 E030 ,JPY,100,-3766,-3766,,,
102011-JPY,5100074164,20190930,Gen,2019/08/23 E030 ,JPY,100,-15064,-15064,,,
102011-JPY,5100074165,20190930,Gen,2019/08/23 E030 ,JPY,100,-26362,-26362,,,
102011-JPY,5100074166,20190930,Gen,2019/08/23 E030 ,JPY,100,-60256,-60256,,,
102011-JPY,5100074167,20190930,Gen,2019/08/23 E030 ,JPY,100,-3766,-3766,,,
102011-JPY,5100074168,20190930,Gen,2019/08/23 E030 ,JPY,100,-94150,-94150,,,
102011-JPY,5100074169,20190930,Gen,2019/08/23 E030 ,JPY,100,-26362,-26362,,,
102011-JPY,5100074170,20190930,Gen,2019/08/23 E030 ,JPY,100,-11298,-11298,,,
102011-JPY,5100074171,20190930,Gen,2019/08/23 E030 ,JPY,100,-18830,-18830,,,
102011-JPY,5100074172,20190930,Gen,2019/08/23 E030 ,JPY,100,-90384,-90384,,,
102011-JPY,5100074173,20190930,Gen,2019/08/23 E030 ,JPY,100,-33894,-33894,,,
102011-JPY,5100074174,20190930,Gen,2019/08/23 E030 ,JPY,100,-41426,-41426,,,
102011-JPY,5100074175,20190930,Gen,2019/08/23 E030 ,JPY,100,-56490,-56490,,,
102011-JPY,5100074206,20190930,Gen,2019/08/23 E030 ,JPY,100,-75320,-75320,,,
102017,5100072718,20190928,Gen,2019/06/21 E090 ,JPY,100,-74736,-74736,,,
102017,5100072903,20190928,Gen,2019/06/28 E090 ,JPY,100,-261684,-261684,,,
102017,5100073677,20191129,Gen,2019/08/05 E090 ,JPY,100,-187920,-187920,,,
102019-JPY,5100073678,20190930,Gen,2019/08/05 E030 ,JPY,100,-1033832,-1033832,,,
102019-JPY,5100073679,20190930,Gen,2019/08/05 E030 ,JPY,100,-1033832,-1033832,,,
102019-JPY,5100073680,20190930,Gen,2019/08/05 E030 ,JPY,100,-1033832,-1033832,,,
102022,5100073681,20191030,Gen,2019/08/05 E060 ,USD,10633,-630,-66988,,,
102028,5100072158,20191028,Gen,2019/05/20 E150 ,JPY,100,-51840,-51840,,,
102028,5100072159,20191028,Gen,2019/05/20 E150 ,JPY,100,-16750,-16750,,,
102028,5100072160,20191028,Gen,2019/05/20 E150 ,JPY,100,-24084,-24084,,,
102028,5100072207,20191028,Gen,2019/05/22 E150 ,JPY,100,-30240,-30240,,,
102028,5100072208,20191028,Gen,2019/05/22 E150 ,JPY,100,-5832,-5832,,,
102028,5100072209,20191028,Gen,2019/05/22 E150 ,JPY,100,-8640,-8640,,,
102028,5100072210,20191028,Gen,2019/05/22 E150 ,JPY,100,-11016,-11016,,,
102028,5100072211,20191028,Gen,2019/05/22 E150 ,JPY,100,-20736,-20736,,,
102028,5100072659,20191127,Gen,2019/06/19 E150 ,JPY,100,-8640,-8640,,,
102028,5100072660,20191127,Gen,2019/06/19 E150 ,JPY,100,-20736,-20736,,,
102028,5100072661,20191127,Gen,2019/06/19 E150 ,JPY,100,-11016,-11016,,,
102028,5100072662,20191127,Gen,2019/06/19 E150 ,JPY,100,-5832,-5832,,,
102028,5100072663,20191127,Gen,2019/06/19 E150 ,JPY,100,-30240,-30240,,,
102028,5100072664,20191127,Gen,2019/06/19 E150 ,JPY,100,-16750,-16750,,,
102028,5100072665,20191127,Gen,2019/06/19 E150 ,JPY,100,-51840,-51840,,,
102028,5100072666,20191127,Gen,2019/06/19 E150 ,JPY,100,-24084,-24084,,,
102028,5100072983,20191228,Gen,2019/07/03 E150 ,JPY,100,-16200,-16200,,,
102028,5100073344,20191228,Gen,2019/07/19 E150 ,JPY,100,-48600,-48600,,,
102028,5100073345,20191228,Gen,2019/07/19 E150 ,JPY,100,-69012,-69012,,,
102028,5100073346,20191228,Gen,2019/07/19 E150 ,JPY,100,-5832,-5832,,,
